Unnamed: 0,i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,2490.8657701408106,40.11168876951645,45.38000404314859,54.91841065017247,83.6,1.6722,2186.129048266426,3455.5385520364366,399.9999736829323,400.0,53.811809794951415,50.69973330947738,599.9999587739113,599.9999337486091,1.6220771226157766,1219.506405728874,1219.5063055495905,1.622195,1.6221951570556403,289.8135014328403,187.45800956856223,1.5720796802722066,978.4639592976528,983.1656266629228,1.571315,1.5713156097519216,286.28685141656683,983.16562652365,1.5213478115229355,300.02618103950965,1.5212277828883431,286.28685141656683,1.520795,1.5207960583469335,154.97508273827512,270.6573051106979,154.9750827382714,1.423723011790054,354.75815722700065,354.7581437530632,1.4229118497711846,270.6573051106979,354.7581437530632,377.6164780813144,1.4227104745726014,1.411445,1.4114453370767677,11.265137495833688,269.4074278182469,1.361375,1.361372792870812,66.20972730938188,205.9544272940092,66.20972730937,1.2644778813531126,190.0,190.00033846803277,1.4229118497711846,205.95442729400915,190.0003384680332,236.0687430370797,1.26411688641778,1.251615,1.2516156512629928,12.501235154787294,204.17429986142812,1.200915,1.2009163383666386,134.86016192061695,0.0145782970864869,0.0123683971909766,1.1786731022126782,2.012651920994923,0.9004969523861028
1,0.0,1.0,1.0,2490.8679607717636,40.11172404637,45.38004395330461,54.91845894902973,83.6,1.6722,2186.1350398189015,3455.541578971972,400.00006585390383,400.0,53.811830561924765,50.6997349128718,599.9999587739113,599.9998833647213,1.6220770084017004,1219.506405728874,1219.506338489697,1.622195,1.6221950429067666,289.8139690376661,187.4578812151223,1.572079504131459,978.4645115933154,983.166359674742,1.571315,1.571315430786622,286.28727635875424,983.1663573936752,1.521347751245821,300.0280896530062,1.5212277221819106,286.28727635875424,1.520795,1.5207959968074825,154.9751083530444,270.6581683274792,154.97510835303996,1.4237233359259416,354.75755041773164,354.7575412911028,1.4229121689215276,270.6581683274792,354.7575412911028,377.6160363615839,1.42271079268985,1.411445,1.4114455945650977,11.26519812475224,269.40829064426185,1.361375,1.361373600706422,66.20973189498704,205.9553975594211,66.20973189497518,1.2644778714007807,190.0,189.99998661292184,1.4229121689215276,205.95539755942107,189.99998661292156,236.0681659299931,1.2641168731868766,1.251615,1.2516155300824867,12.501343104389884,204.1753005024267,1.200915,1.2009162400209594,134.8601595793603,0.0145782739046984,0.0123683814703343,1.178672726068852,2.012651920994923,0.9004966305887293
2,0.0,2.0,2.0,2490.8699568147385,40.11175618967357,45.380080318346586,54.91850295762669,83.6,1.6722,2186.139405193391,3455.5443556166847,400.0000967070674,400.0,53.811844573059794,50.6997363879971,599.9999587739113,599.9998837366555,1.6220769321116502,1219.506405728874,1219.506365246913,1.622195,1.6221949666475597,289.8143300512059,187.45777135535573,1.5720793436896243,978.464836777408,983.1667948682314,1.571315,1.571315268207939,286.2876080414562,983.1667948681388,1.521347581434071,300.0294300875297,1.52122755203786,286.2876080414562,1.520795,1.5207958260362555,154.9751352505294,270.658768124794,154.9751352505262,1.4237234016349751,354.75714011902465,354.75713395495984,1.4229122311240248,270.658768124794,354.75713395495984,377.6157279221786,1.4227108541646296,1.411445,1.411445613644537,11.26524052009259,269.40888890061626,1.361375,1.361374082868728,66.20973697074128,205.95598528667784,66.20973697072621,1.2644777680105868,190.0,189.99984865742675,1.4229122311240248,205.95598528667784,189.9998486574264,236.0679163839955,1.2641167677364928,1.251615,1.2516153558399012,12.501411896591597,204.17589935446276,1.200915,1.2009160167314563,134.86015708964823,0.014578265398046,0.0123683698644106,1.1786731443077467,2.012651920994923,0.9004964851170488
3,0.0,3.0,3.0,2490.8714631637713,40.11178044718447,45.38010776186683,54.91853616949052,83.6,1.6722,2186.142404064428,3455.5464571689004,400.0000896477279,400.0,53.811848776686205,50.69973134558709,599.9999587739113,599.9999083972498,1.6220768929686502,1219.506405728874,1219.506407961227,1.622195,1.6221949275087009,289.81458369480265,187.4576881918377,1.5720792226251377,978.4650289430236,983.1670547792364,1.571315,1.571315145660397,286.28784183544605,983.1670547564062,1.5213473968461784,300.0303236954218,1.5212273672148642,286.28784183544605,1.520795,1.5207956407770804,154.9751628630579,270.6591843536364,154.97516286305387,1.4237233634291395,354.75686554309374,354.7568614309396,1.422912190471446,270.6591843536364,354.7568614309396,377.61551230707136,1.422710813004671,1.411445,1.411445543143304,11.265269861367113,269.40930387003766,1.361375,1.3613743903280175,66.20974240698625,205.9563620291642,66.20974240697134,1.264477671103403,190.0,189.9998096288172,1.422912190471446,205.95636202916415,189.9998096288165,236.0678197424372,1.2641166694692678,1.251615,1.2516152115318426,12.501457937425188,204.17627980223585,1.200915,1.2009157886751838,134.860154596092,0.0145782640409894,0.0123683600958592,1.17867396550575,2.012651920994923,0.900496413559751
4,0.0,4.0,4.0,2490.872480403413,40.11179682831605,45.38012629451504,54.91855859750935,83.6,1.6722,2186.1443717623692,3455.547879255794,400.00006561354814,400.0,53.811847482255686,50.699724749186096,599.9999587739113,599.9999373113185,1.6220768809260286,1219.506405728874,1219.5064490541977,1.622195,1.622194915456251,289.8147504026029,187.4576294227716,1.572079140874605,978.4651463902632,983.1672118109992,1.571315,1.5713150629366806,286.28799620527883,983.167211810964,1.5213472338451506,300.0308977696019,1.5212272040566344,286.28799620527883,1.520795,1.5207954773308268,154.9751907033728,270.65947488244353,154.97519070336782,1.4237232900102728,354.7566830775828,354.7566803481969,1.4229121153438755,270.65947488244353,354.7566803481969,377.6153603354783,1.4227107375238244,1.411445,1.4114454474107785,11.26529011304589,269.40959361820427,1.361375,1.3613745941221969,66.20974811754358,205.95661128447,66.20974811752731,1.2644776025799986,190.0,189.9998151717023,1.4229121153438755,205.95661128447,189.9998151717021,236.06779511436764,1.264116600024401,1.251615,1.251615110513953,12.50148951044805,204.17652976802813,1.200915,1.200915592765711,134.86015215852905,0.0145782662481546,0.0123683512330927,1.1786749885586256,2.012651920994923,0.900496375735426
5,0.0,5.0,5.0,2490.8731071573625,40.11180692125628,45.38013771307363,54.91857241613063,83.6,1.6722,2186.1456104992853,3455.548757188856,400.0000386605735,400.0,53.81184348545055,50.69971839912346,599.9999587739113,599.9999602760781,1.6220768850719764,1219.506405728874,1219.5064699102784,1.622195,1.6221949195871002,289.814853727667,187.4575891325805,1.5720790905060222,978.465219248092,983.1673097252462,1.571315,1.571315011967073,286.2880913407753,983.1673097252268,1.5213471029495862,300.0312526373183,1.521227073061669,286.2880913407753,1.520795,1.5207953461554613,154.9752184130219,270.65968062604696,154.97521841301787,1.4237232118441776,354.75656210421783,354.7565602920856,1.422912035972806,270.65968062604696,354.7565602920856,377.6152512027763,1.4227106579049689,1.411445,1.4114453537418634,11.26530416310545,269.40979903036254,1.361375,1.3613747320958292,66.20975404288028,205.9567796822532,66.20975404286476,1.2644775610765708,190.0,189.99983856255284,1.422912035972806,205.9567796822532,189.99983856255344,236.06780265659356,1.2641165578859492,1.251615,1.251615046401536,12.50151148441314,204.1766977070501,1.200915,1.2009154362178949,134.86014980028443,0.0145782702931808,0.0123683429078997,1.1786761089773468,2.012651920994923,0.9004963546150869
6,0.0,6.0,6.0,2490.873452230565,40.111812478147016,45.38014399981279,54.9185800242772,83.6,1.6722,2186.1463543942023,3455.5492418450385,400.0000156515502,400.0,53.81183880776002,50.69971349608237,599.9999587739113,599.9999745005273,1.6220768973390682,1219.506405728874,1219.506473349723,1.622195,1.6221949318393476,289.8149135076671,187.4575628917165,1.5720790627731192,978.4652665477258,983.1673713085174,1.571315,1.571314983885132,286.2881460761835,983.1673713085056,1.5213470040106003,300.03146245661964,1.5212269740630604,286.2881460761835,1.520795,1.5207952470496402,154.97524575304516,270.65983113625055,154.9752457530419,1.4237231418856575,354.7564807169052,354.7564794900309,1.4229119651405384,270.65983113625055,354.7564794900309,377.6151698257303,1.422710586894429,1.411445,1.411445272758721,11.265314135707971,269.4099495235003,1.361375,1.361374826760182,66.2097601417327,205.95689636109785,66.20976014171637,1.2644775400419863,190.0,189.9998665345046,1.4229119651405384,205.95689636109785,189.99986653450463,236.067822151506,1.2641165364042497,1.251615,1.2516150093432734,12.501527060976292,204.1768135226749,1.200915,1.200915316193433,134.86014752867314,0.0145782753692616,0.0123683349958652,1.1786772733868596,2.012651920994923,0.9004963416423143
7,0.0,7.0,7.0,2490.873609881052,40.11181501687364,45.38014687197868,54.91858350014261,83.6,1.6722,2186.1467751749906,3455.549464437732,399.9999990378982,400.0,53.81183451778912,50.69971028906698,599.9999587739113,599.999980810645,1.6220769123268282,1219.506405728874,1219.506465043426,1.622195,1.6221949468148975,289.81494492323634,187.45754682376625,1.5720790501006572,978.4652987159438,983.167411396677,1.571315,1.5713149710253276,286.28817478295923,983.1674113966684,1.5213469325310154,300.031580935649,1.5212269025498673,286.28817478295923,1.520795,1.5207951754765283,154.97527257647306,270.6599467593919,154.9752725764692,1.4237230845148248,354.756423926978,354.7564230586961,1.422911907106934,270.6599467593919,354.7564230586961,377.6151057945145,1.4227105287269,1.411445,1.411445207214045,11.265321512854642,269.41006533869694,1.361375,1.3613748923690754,66.20976638536096,205.95698042321425,66.20976638534475,1.2644775330018108,190.0,189.99989285087904,1.422911907106934,205.95698042321425,189.9998928508793,236.0678435199504,1.2641165290384178,1.251615,1.2516149906026268,12.501538435790938,204.17689665548656,1.200915,1.2009152268712888,134.8601453440047,0.0145782811330488,0.0123683274793097,1.178678455711656,2.012651920994923,0.9004963318643724
8,0.0,8.0,8.0,2490.8736539063084,40.11181572583492,45.38014767405576,54.91858447080797,83.6,1.6722,2186.1469946924294,3455.5495278167627,399.9999888292148,400.0,53.8118310931095,50.699708605752846,599.9999587739113,599.9999813576842,1.622076926804303,1219.506405728874,1219.506450882405,1.622195,1.622194961283595,289.81495901971994,187.4575377941415,1.5720790465584824,978.4653215264595,983.1674407534946,1.571315,1.571314967396142,286.2881869628507,983.1674407534886,1.5213468826687082,300.031644559701,1.5212268526706652,286.2881869628507,1.520795,1.520795125567234,154.97529880336438,270.6600405791896,154.97529880336072,1.42372303989711,354.75638214094954,354.7563814912309,1.4229118619592809,270.6600405791896,354.7563814912309,377.6150524102093,1.4227104834732718,1.411445,1.411445156213631,11.2653272596408,269.4101595072564,1.361375,1.3613749381291624,66.20977275351274,205.95704420460376,66.2097727534965,1.2644775347138766,190.0,189.99991508986025,1.4229118619592809,205.95704420460376,189.9999150898605,236.0678622432081,1.2641165305022837,1.251615,1.2516149834150674,12.501547087216291,204.17695959565327,1.200915,1.2009151619506782,134.86014324368475,0.0145782874648925,0.0123683203838166,1.1786796438397262,2.012651920994923,0.900496322353728
9,0.0,9.0,9.0,2490.8736344819345,40.11181541303427,45.38014732017151,54.918584042540914,83.6,1.6722,2186.1470935398,3455.549502105677,399.9999838227498,400.0,53.81182861064198,50.69970806276428,599.9999587739113,599.9999784827128,1.622076939221391,1219.506405728874,1219.5064356140797,1.622195,1.6221949736951111,289.8149630953016,187.4575334798702,1.5720790481148506,978.46533832072,983.167461968514,1.571315,1.5713149689239163,286.28818984235244,983.1674619685105,1.5213468489962876,300.03167507064506,1.5212268189912104,286.28818984235244,1.520795,1.5207950918752675,154.9753243948282,270.66012111103765,154.97532439482592,1.4237230065401891,354.7563491666213,354.7563486445127,1.4229118281537954,270.66012111103765,354.7563486445127,377.6150053947537,1.4227104495789296,1.411445,1.4114451175668965,11.265332012033058,269.41024048447844,1.361375,1.3613749701294369,66.20977923191184,205.9570955493149,66.20977923189503,1.2644775413527272,190.0,189.99993275800333,1.4229118281537954,205.9570955493149,189.99993275800364,236.0678767590996,1.2641165369417484,1.251615,1.2516149829492371,12.501553992511072,204.17701023392428,1.200915,1.2009151156728863,134.86014122416873,0.0145782943388289,0.0123683137460671,1.178680832176049,2.012651920994923,0.9004963113185921
