Unnamed: 0,i,j,steps,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air_m3,air_SP_m3,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,3015.8321368063353,48.56549136561579,54.94413878191125,66.4928274042461,83.6,1.6722,2646.8778227363887,2646.594729128021,269.99999610606693,270.0,36.29291122402454,34.1864107408614,599.9999587739113,599.9999293704612,1.6221413256850663,1219.506405728874,1219.5063361669525,1.622195,1.6221950926233355,336.8698014667872,144.13280403398423,1.5723121232252968,932.2901792354672,932.656958200578,1.571315,1.5713154959163216,333.0422734550572,932.6569582000624,1.5214465130558468,348.4919043501821,1.5212899542003768,333.0422734550572,1.520795,1.520795807050595,189.0843774818928,317.6799918123525,189.08437748189368,1.426735785972415,274.5117194943035,274.51171570930524,1.4255194820366317,317.6799918123525,274.5117157093049,311.3113923354378,1.4252754783022366,1.411445,1.411444304290461,13.831174011775582,315.37870241077525,1.361375,1.3613690968080256,70.81387406012472,241.5725875413588,70.81387406025344,1.2701542843697664,230.0,230.0016753901504,1.4255194820366317,241.5725875413588,230.0016753901504,265.01594464086224,1.269641805429044,1.251615,1.2516167012871058,18.025104141938364,239.9586723406468,1.200915,1.2009172600564746,179.1096252392505,0.0180493844284524,0.0070604528182848,2.5564060681361496,2.010099177987712,0.909083332431328
1,0.0,1.0,1.0,3015.823484721076,48.56535203665023,54.94398115331932,66.49263664375754,83.6,1.6722,2646.8765700366584,2646.587111098455,270.00005735392034,270.0,36.29292624475102,34.18641112023751,599.9999587739113,599.9998958947517,1.62214119828939,1219.506405728874,1219.5063694699566,1.622195,1.6221949652580665,336.8692473434597,144.13292647749122,1.5723118090099997,932.2911876658272,932.658324634289,1.571315,1.5713151840895756,333.04164334920785,932.6583244999744,1.5214462124826795,348.49217684714847,1.5212896540197889,333.04164334920785,1.520795,1.5207955074916204,189.0843950236944,317.679688313238,189.08439502369487,1.4267357760876034,274.5118146917505,274.51181760773926,1.4255194746506965,317.679688313238,274.5118176077389,311.3114732314227,1.4252754713818865,1.411445,1.4114443236546008,13.831147727285442,315.3784097301176,1.361375,1.3613685106683704,70.81390318709371,241.5677556854724,70.81390318711345,1.2701514768040476,230.0,230.00254465576077,1.4255194746506965,241.5677556854724,230.00254465576077,265.0171775996154,1.2696390167121931,1.251615,1.2516145626231836,18.024454089009545,239.9538021025936,1.200915,1.2009150624250662,179.10962928907583,0.0180494589178659,0.0070604777109959,2.5564076053601665,2.010099177987712,0.9090845587190532
2,0.0,2.0,2.0,3015.8159499904236,48.565230701018855,54.94384388132677,66.49247051861461,83.6,1.6722,2646.8729203802195,2646.5804791688083,270.0000534891507,270.0,36.29292817825991,34.18640674751315,599.9999587739113,599.9999205400675,1.6221411620006283,1219.506405728874,1219.5064086532525,1.622195,1.6221949289707414,336.8686166247426,144.13304392856,1.57231165582973,932.2917208025692,932.6590899992664,1.571315,1.5713150342064817,333.0409613812035,932.6590899327113,1.5214461238627537,348.49170557715786,1.5212895659376418,333.0409613812035,1.520795,1.52079542034676,189.08440968927056,317.67909275178687,189.0844096891385,1.4267363044314534,274.51199345128697,274.5119963169758,1.4255200081840118,317.67909275178687,274.5119963169766,311.3116434301047,1.425276005885373,1.411445,1.4114449136719025,13.831092213470786,315.37781506468497,1.361375,1.3613695874598426,70.81393118828295,241.56634166108432,70.81393118830037,1.2701509371757322,230.0,230.0021478079246,1.4255200081840118,241.56634166108432,230.0021478079246,265.016924483738,1.2696384831303742,1.251615,1.251614252317102,18.02423081327209,239.95232501438815,1.200915,1.20091446825884,179.10963321042377,0.0180494849280531,0.0070604851667426,2.556408589748548,2.010099177987712,0.909084946042485
3,0.0,3.0,3.0,3015.8099538389038,48.56513414191621,54.943734640040674,66.49233831594218,83.6,1.6722,2646.868859049144,2646.575194947767,270.00003841639955,270.0,36.29292675785815,34.18640192333903,599.9999587739113,599.9999447982576,1.622141152858931,1219.506405728874,1219.50643620856,1.622195,1.6221949198242516,336.86804864883106,144.13314484077523,1.5723115512131085,932.2919907648528,932.659486054075,1.571315,1.5713149327128988,333.0403696262857,932.659486009847,1.521446023309128,348.4910086205985,1.5212894658816154,333.0403696262857,1.520795,1.520795321189247,189.08442128953504,317.67858392996123,189.0844212887674,1.426736684578685,274.5121456409146,274.51214808218174,1.4255203926952358,317.67858392996123,274.5121480821819,311.3117750989653,1.425276391211387,1.411445,1.4114453455409652,13.831045670421815,315.3773134539942,1.361375,1.3613707968647566,70.81395878291205,241.5658632358996,70.81395878293074,1.270150995498636,230.0,230.00161380995803,1.4255203926952358,241.5658632358996,230.00161380995803,265.01638746283487,1.2696385438535005,1.251615,1.2516144075844748,18.02413626902566,239.9518414988846,1.200915,1.2009144662573576,179.10963666862793,0.018049496177746,0.00706048685352,2.5564095723437763,2.010099177987712,0.9090849276529868
4,0.0,4.0,4.0,3015.805233622296,48.56505812984772,54.94364864445981,66.49223424498133,83.6,1.6722,2646.8649557726135,2646.571035183354,270.0000226476131,270.0,36.292923905099975,34.18639721432852,599.9999587739113,599.9999616727521,1.6221411564301518,1219.506405728874,1219.5064530200334,1.622195,1.6221949233914312,336.8675615168151,144.13322963414086,1.5723114752025202,932.2921100773552,932.6596732283951,1.571315,1.5713148594689124,333.0398708111454,932.6596718261324,1.5214458865095626,348.49026357410906,1.5212893295143912,333.0398708111454,1.520795,1.520795185621006,189.0844299253308,317.6781294307403,189.0844299009614,1.4267368422908986,274.5122788045703,274.5122809578285,1.425520554126421,317.6781294307403,274.51228095782847,311.3118886477777,1.4252765533346627,1.411445,1.4114455471645695,13.831006170093252,315.3768663349823,1.361375,1.3613717883664809,70.81398611928456,241.5656226381221,70.81398611783767,1.270151121840438,230.0,230.00118360421052,1.425520554126421,241.5656226381221,230.00118360421052,265.0159294505594,1.2696386715451842,1.251615,1.2516145903698033,18.0240811753809,239.95160914531243,1.200915,1.200914570779109,179.10963948598177,0.0180495023297522,0.0070604866574969,2.556410514647305,2.010099177987712,0.9090848333116792
5,0.0,5.0,5.0,3015.801470242513,48.56499752621329,54.94358008107442,66.4921512702828,83.6,1.6722,2646.86136535922,2646.567719532166,270.00000796897814,270.0,36.292896526501615,34.18634627284054,599.9999587739113,599.9999886083732,1.622141169475828,1219.506405728874,1219.5067499001616,1.622195,1.622194936420073,336.867144430884,144.1333115853766,1.5723114292062128,932.29213933397,932.65973603059,1.571315,1.5713148159066703,333.03944819584444,932.6597313068078,1.521445745949224,348.48952903744674,1.5212891893295255,333.03944819584444,1.520795,1.520795046141301,189.0844358993672,317.6777148716328,189.08443581882105,1.426736847184369,274.512397318179,274.5123992321451,1.4255205622666156,317.6777148716328,274.5123992321456,311.311994304732,1.4252765620772003,1.411445,1.4114455902376777,13.830971839522864,315.37645733307534,1.361375,1.3613725353431434,70.81401325647175,241.5654203956321,70.814013246589,1.2701512017571648,230.0,230.00088011481253,1.4255205622666156,241.5654203956321,230.00088011481253,265.01560425017686,1.2696387525471104,1.251615,1.2516147148852856,18.02403766182481,239.95141584124988,1.200915,1.2009146562077222,179.10964175003093,0.0180495055890099,0.0070604855526178,2.556411376313562,2.010099177987712,0.9090847627665222
6,0.0,6.0,6.0,3015.7984357427954,48.56494866010829,54.94352479683906,66.49208436587406,83.6,1.6722,2646.8581491446266,2646.5650464311734,269.9999970728011,270.0,36.292914799885374,34.18638630714012,599.9999587739113,599.999973396572,1.622141185147231,1219.506405728874,1219.506385663541,1.622195,1.622194952092214,336.86679267865844,144.13335536176777,1.5723114128582252,932.2921247529704,932.6597374077568,1.571315,1.571314801653957,333.0390951053386,932.659737407758,1.5214456296810082,348.4888610801962,1.521289073381763,333.0390951053386,1.520795,1.520794930799785,189.0844396132619,317.67734532100377,189.08443961326176,1.4267367750372428,274.5125006523951,274.5125023140168,1.425520492926886,317.67734532100377,274.51250231401644,311.31209231685443,1.425276493257166,1.411445,1.4114455509808606,13.830942276305436,315.3760913499503,1.361375,1.3613730893319689,70.81404022428998,241.56521888364907,70.81404022430422,1.270151236433691,230.0,230.0006730307734,1.425520492926886,241.56521888364907,230.0006730307734,265.0153857799918,1.269638788223257,1.251615,1.2516147894800922,18.02399874316474,239.95122103062704,1.200915,1.2009147098981403,179.1096435947968,0.01804950648932,0.0070604837581863,2.5564121535429134,2.010099177987712,0.90908473174077
7,0.0,7.0,7.0,3015.7960005498217,48.56490944494711,54.94348043111358,66.4920306749328,83.6,1.6722,2646.855364804196,2646.5629010407015,269.9999885243989,270.0,36.29289778458224,34.186357364868606,599.9999587739113,599.9999850635238,1.622141204769006,1219.506405728874,1219.506576303136,1.622195,1.6221949717058848,336.86649694444765,144.13341296363467,1.5723114186356943,932.2920832480748,932.6597003100412,1.571315,1.5713148092273743,333.0387995117591,932.6596976976087,1.5214455473360828,348.4882604351397,1.5212889913112613,333.0387995117591,1.520795,1.520794849251235,189.0844414411277,317.6770218381918,189.08444141702637,1.4267366745936312,274.5125891904894,274.51259060113733,1.4255203948918254,317.6770218381918,274.51259060113784,311.31218211121694,1.425276395667311,1.411445,1.411445478648133,13.830917019177711,315.375769966927,1.361375,1.3613735040679056,70.81406704308218,241.5650220563816,70.814067043097,1.270151245621887,230.0,230.0005301751677,1.4255203948918254,241.5650220563816,230.0005301751677,265.0152392354513,1.2696387983370545,1.251615,1.2516148348877232,18.02396344933133,239.95102876252048,1.200915,1.200914743390852,179.1096451329353,0.0180495054466522,0.0070604813826425,2.556412865987465,2.010099177987712,0.9090847330609492
8,0.0,8.0,8.0,3015.7940624855587,48.56487823530448,54.94344512236064,66.49198794464587,83.6,1.6722,2646.853021377463,2646.5611932426577,269.99998439561585,270.0,36.29290579195682,34.186377174901395,599.9999587739113,599.9999737478454,1.6221412211904,1219.506405728874,1219.5064082421788,1.622195,1.6221949881260018,336.8662558973584,144.13344685187562,1.5723114396515865,932.2920371168776,932.6596507261512,1.571315,1.571314831724654,333.0385608176557,932.6596498990835,1.5214454996068567,348.4877545876642,1.5212889438081203,333.0385608176557,1.520795,1.520794802178484,189.0844417486913,317.6767500326204,189.0844417363249,1.4267365737712114,274.5126620760169,274.51266322803707,1.425520296066541,317.6767500326204,274.5126632280366,311.31226112715694,1.425276297210801,1.411445,1.4114454010491593,13.830896161641792,315.3754991415197,1.361375,1.3613738213129667,70.81409373004394,241.56484322031065,70.81409372955818,1.2701512457557949,230.0,230.0004270787165,1.425520296066541,241.56484322031065,230.0004270787165,265.0151369285976,1.2696387992883444,1.251615,1.251614866709925,18.023932578419497,239.95085287331477,1.200915,1.2009147687083537,179.1096464465717,0.0180495030120078,0.0070604785587454,2.556413543618922,2.010099177987712,0.9090847543064672
9,0.0,9.0,9.0,3015.79255196462,48.564853910611234,54.943417602834245,66.4919546408002,83.6,1.6722,2646.8511173686034,2646.5598616584166,269.99998307230834,270.0,36.29289157723052,34.18635247465774,599.9999587739113,599.9999795275577,1.6221412353901354,1219.506405728874,1219.5065782451447,1.622195,1.6221950023199496,336.866062492965,144.1334870618966,1.5723114676356809,932.291989002049,932.6595962201118,1.571315,1.5713148609114154,333.0383698990509,932.6595924506016,1.5214454794629086,348.48733383432705,1.521288923848591,333.0383698990509,1.520795,1.5207947825703036,189.08444086781523,317.6765266041147,189.0844408023072,1.426736483787111,274.51272066249976,274.51272158186225,1.4255202077083515,317.6765266041147,274.51272158186214,311.3123290174857,1.4252762091525857,1.411445,1.4114453298953178,13.830879257267892,315.3752760315095,1.361375,1.3613740687006906,70.81412030283981,241.56469007443863,70.81412029463742,1.2701512449711407,230.0,230.0003488682986,1.4255202077083515,241.56469007443863,230.0003488682986,265.0150615473003,1.269638799193197,1.251615,1.2516148926011097,18.0239065920873,239.9507016924353,1.200915,1.2009147924164605,179.10964759316144,0.0180494997869224,0.0070604754414956,2.556414215513381,2.010099177987712,0.9090847856392584
10,0.0,10.0,10.0,3015.7913978245324,48.56483532490158,54.94339657605613,66.49192919441123,83.6,1.6722,2646.849614815649,2646.558843836928,269.9999832918919,270.0,36.29285046372252,34.186274183468754,599.9999587739113,600.0000018318407,1.6221412472535215,1219.506405728874,1219.5070333301385,1.622195,1.6221950141765695,336.8659109515959,144.13353266283187,1.5723114972753869,932.2919426925332,932.6595412261782,1.571315,1.5713148915019293,333.03822126101664,932.6595302612624,1.5214454793658083,348.48699233176325,1.5212889238979,333.03822126101664,1.520795,1.5207947828989954,189.08443906873285,317.6763478537626,189.08443887817847,1.4267364082934475,274.5127663267071,274.5127670376196,1.4255201335044416,317.6763478537626,274.512767037619,311.3123858515492,1.4252761351864196,1.411445,1.4114452692706605,13.830865915759327,315.375097150133,1.361375,1.3613742644430853,70.81414677581736,241.5645652637833,70.81414675193157,1.2701512461966489,230.0,230.0002868933576,1.4255201335044416,241.5645652637833,230.0002868933576,265.01500310433187,1.2696388009761097,1.251615,1.2516149154705996,18.02388550551015,239.9505782310422,1.200915,1.200914816832698,179.10964861300195,0.0180494963040253,0.0070604721759018,2.55641490460513,2.010099177987712,0.9090848201566856
